date,load_tran_actual,load_tran_fitted,load_tran_lower,load_tran_upper
2026-07-13 00:00:00+00:00,5199.0,5661.5083,5560.9,5762.117
2026-07-13 01:00:00+00:00,5225.5,5559.959,5459.35,5660.5674
2026-07-13 02:00:00+00:00,5319.75,5986.207,5885.5986,6086.816
2026-07-13 03:00:00+00:00,5856.5,5586.6113,5486.0024,5687.2197
2026-07-13 04:00:00+00:00,7173.75,6771.2476,6670.639,6871.8564
2026-07-13 05:00:00+00:00,8025.0,7154.831,7054.2227,7255.44
2026-07-13 06:00:00+00:00,8441.75,7605.755,7505.1465,7706.364
2026-07-13 07:00:00+00:00,8364.0,7479.652,7379.043,7580.2603
2026-07-13 08:00:00+00:00,8266.5,7621.709,7521.1,7722.3174
2026-07-13 09:00:00+00:00,8290.25,7289.2095,7188.6006,7389.818
2026-07-13 10:00:00+00:00,8112.75,7100.765,7000.1562,7201.3735
2026-07-13 11:00:00+00:00,8140.75,7241.171,7140.5625,7341.78
2026-07-13 12:00:00+00:00,8006.0,7217.9375,7117.3286,7318.546
2026-07-13 13:00:00+00:00,7912.0,7092.2036,6991.5947,7192.812
2026-07-13 14:00:00+00:00,8051.75,7047.404,6946.7954,7148.0127
2026-07-13 15:00:00+00:00,8183.75,7328.044,7227.435,7428.653
2026-07-13 16:00:00+00:00,8127.0,7297.984,7197.3755,7398.593
2026-07-13 17:00:00+00:00,8112.0,7227.9497,7127.341,7328.5586
2026-07-13 18:00:00+00:00,7910.5,6649.3027,6548.6943,6749.9116
2026-07-13 19:00:00+00:00,7595.25,6512.462,6411.8535,6613.071
2026-07-13 20:00:00+00:00,7187.25,6881.244,6780.6353,6981.853
2026-07-13 21:00:00+00:00,6652.0,6497.9775,6397.369,6598.5864
2026-07-13 22:00:00+00:00,6335.25,6262.023,6161.414,6362.6313
2026-07-13 23:00:00+00:00,6119.25,5982.807,5882.1987,6083.416
2026-07-14 00:00:00+00:00,5880.0,5610.993,5510.385,5711.602
2026-07-14 01:00:00+00:00,5939.25,5512.446,5411.837,5613.0547
2026-07-14 02:00:00+00:00,6027.25,5739.8755,5639.267,5840.4844
2026-07-14 03:00:00+00:00,6459.5,5405.1343,5304.5254,5505.7427
2026-07-14 04:00:00+00:00,7442.25,6805.814,6705.2056,6906.423
2026-07-14 05:00:00+00:00,8336.25,7516.255,7415.646,7616.8633
2026-07-14 06:00:00+00:00,8942.0,7541.8267,7441.218,7642.435
2026-07-14 07:00:00+00:00,9124.75,7962.887,7862.2783,8063.4956
2026-07-14 08:00:00+00:00,9225.25,7890.734,7790.125,7991.3423
2026-07-14 09:00:00+00:00,8737.5,7841.5938,7740.985,7942.202
2026-07-14 10:00:00+00:00,8265.5,7609.8975,7509.289,7710.5063
2026-07-14 11:00:00+00:00,8258.0,7192.873,7092.2646,7293.482
2026-07-14 12:00:00+00:00,8311.5,7108.3506,7007.742,7208.9595
2026-07-14 13:00:00+00:00,8310.0,7180.676,7080.0674,7281.2847
2026-07-14 14:00:00+00:00,8227.75,7101.369,7000.7607,7201.978
2026-07-14 15:00:00+00:00,8138.25,7038.621,6938.012,7139.2295
2026-07-14 16:00:00+00:00,8223.5,6951.882,6851.2734,7052.4907
2026-07-14 17:00:00+00:00,8310.5,7007.7246,6907.1157,7108.333
2026-07-14 18:00:00+00:00,8050.5,7057.8594,6957.251,7158.4683
2026-07-14 19:00:00+00:00,7693.75,7122.015,7021.4062,7222.6235
2026-07-14 20:00:00+00:00,7285.25,6649.195,6548.586,6749.8037
2026-07-14 21:00:00+00:00,6710.5,6294.0845,6193.476,6394.6934
2026-07-14 22:00:00+00:00,6317.25,6252.846,6152.2373,6353.4546
2026-07-14 23:00:00+00:00,6131.0,5987.0166,5886.4077,6087.625
2026-07-15 00:00:00+00:00,6032.0,5967.432,5866.823,6068.041
2026-07-15 01:00:00+00:00,5997.5,5934.3853,5833.777,6034.994
2026-07-15 02:00:00+00:00,6022.0,6098.7183,5998.11,6199.327
2026-07-15 03:00:00+00:00,6421.75,5713.978,5613.3696,5814.587
2026-07-15 04:00:00+00:00,7529.0,6508.201,6407.5923,6608.8096
2026-07-15 05:00:00+00:00,8417.25,7222.2095,7121.601,7322.8184
2026-07-15 06:00:00+00:00,8960.75,7374.119,7273.5103,7474.7275
2026-07-15 07:00:00+00:00,9038.75,7588.222,7487.6133,7688.831
2026-07-15 08:00:00+00:00,9039.25,7590.1,7489.491,7690.7085
2026-07-15 09:00:00+00:00,8912.5,7703.7944,7603.1855,7804.4033
2026-07-15 10:00:00+00:00,8662.25,7603.696,7503.0874,7704.3047
2026-07-15 11:00:00+00:00,8541.5,7530.3486,7429.7397,7630.9575
2026-07-15 12:00:00+00:00,8693.75,7328.627,7228.018,7429.2354
2026-07-15 13:00:00+00:00,8696.5,7321.6343,7221.026,7422.243
2026-07-15 14:00:00+00:00,8675.75,7224.8125,7124.204,7325.4214
2026-07-15 15:00:00+00:00,8546.5,7287.1523,7186.5435,7387.761
2026-07-15 16:00:00+00:00,8513.0,7108.239,7007.63,7208.8477
2026-07-15 17:00:00+00:00,8303.0,7131.2173,7030.6084,7231.8257
2026-07-15 18:00:00+00:00,7896.0,6931.6157,6831.007,7032.2246
2026-07-15 19:00:00+00:00,7499.0,6762.28,6661.6714,6862.8887
2026-07-15 20:00:00+00:00,7123.25,6653.143,6552.5347,6753.752
2026-07-15 21:00:00+00:00,6692.5,6438.1973,6337.5884,6538.8057
2026-07-15 22:00:00+00:00,6358.5,6264.121,6163.5127,6364.73
2026-07-15 23:00:00+00:00,6066.5,5882.401,5781.792,5983.01
2026-07-16 00:00:00+00:00,5861.5,5574.971,5474.363,5675.58
2026-07-16 01:00:00+00:00,5830.0,5306.223,5205.6147,5406.832
2026-07-16 02:00:00+00:00,5866.5,5618.818,5518.209,5719.427
2026-07-16 03:00:00+00:00,6210.5,5556.3735,5455.765,5656.9824
2026-07-16 04:00:00+00:00,7352.0,6548.4736,6447.865,6649.0825
2026-07-16 05:00:00+00:00,8236.0,7025.543,6924.934,7126.1514
2026-07-16 06:00:00+00:00,8709.0,7421.2393,7320.631,7521.848
2026-07-16 07:00:00+00:00,8620.0,7467.742,7367.1333,7568.3506
2026-07-16 08:00:00+00:00,8421.5,7316.329,7215.7207,7416.938
2026-07-16 09:00:00+00:00,8304.25,7038.237,6937.628,7138.845
2026-07-16 10:00:00+00:00,8072.75,6766.4136,6665.8047,6867.0225
2026-07-16 11:00:00+00:00,8023.25,6638.6133,6538.005,6739.222
2026-07-16 12:00:00+00:00,7933.5,6819.0093,6718.4004,6919.618
2026-07-16 13:00:00+00:00,7928.5,6886.5723,6785.9634,6987.1807
2026-07-16 14:00:00+00:00,7997.75,7013.048,6912.439,7113.6562
2026-07-16 15:00:00+00:00,7974.75,6832.5425,6731.9336,6933.151
2026-07-16 16:00:00+00:00,8206.25,6975.0576,6874.4487,7075.6665
2026-07-16 17:00:00+00:00,8213.75,6823.4033,6722.795,6924.012
2026-07-16 18:00:00+00:00,7787.25,6703.9785,6603.3696,6804.587
2026-07-16 19:00:00+00:00,7413.5,6602.0527,6501.444,6702.661
2026-07-16 20:00:00+00:00,6920.5,6458.0977,6357.489,6558.706
2026-07-16 21:00:00+00:00,6345.0,6240.817,6140.208,6341.426
2026-07-16 22:00:00+00:00,6082.5,6103.1426,6002.5337,6203.751
2026-07-16 23:00:00+00:00,5822.75,5571.152,5470.5435,5671.7607
2026-07-17 00:00:00+00:00,5711.75,5233.7935,5133.1846,5334.4023
2026-07-17 01:00:00+00:00,5648.75,5385.924,5285.3154,5486.5327
2026-07-17 02:00:00+00:00,5668.0,5143.9536,5043.3447,5244.5625
2026-07-17 03:00:00+00:00,6140.5,5408.796,5308.187,5509.4043
2026-07-17 04:00:00+00:00,7252.25,6621.583,6520.974,6722.1914
2026-07-17 05:00:00+00:00,8269.75,7347.951,7247.343,7448.56
2026-07-17 06:00:00+00:00,8698.75,7258.8228,7158.2144,7359.4316
2026-07-17 07:00:00+00:00,8659.0,7586.531,7485.922,7687.139
2026-07-17 08:00:00+00:00,8640.25,7413.6626,7313.0537,7514.271
2026-07-17 09:00:00+00:00,8387.25,7430.9033,7330.2944,7531.512
2026-07-17 10:00:00+00:00,8200.5,7293.21,7192.601,7393.8184
2026-07-17 11:00:00+00:00,7911.75,6972.8555,6872.2466,7073.464
2026-07-17 12:00:00+00:00,7690.0,6845.8203,6745.2114,6946.4287
2026-07-17 13:00:00+00:00,7558.0,6737.382,6636.773,6837.99
2026-07-17 14:00:00+00:00,7570.0,6875.802,6775.1934,6976.4106
2026-07-17 15:00:00+00:00,7658.25,6814.6147,6714.006,6915.223
2026-07-17 16:00:00+00:00,7533.5,6702.5444,6601.936,6803.1533
2026-07-17 17:00:00+00:00,7405.75,6847.813,6747.204,6948.4214
2026-07-17 18:00:00+00:00,7252.0,6522.925,6422.316,6623.533
2026-07-17 19:00:00+00:00,6928.75,6165.782,6065.1733,6266.3906
2026-07-17 20:00:00+00:00,6414.5,6671.783,6571.175,6772.392
2026-07-17 21:00:00+00:00,6001.0,6106.7515,6006.143,6207.3604
2026-07-17 22:00:00+00:00,5731.5,5667.9946,5567.386,5768.6035
2026-07-17 23:00:00+00:00,5371.75,5498.694,5398.085,5599.3022
2026-07-18 00:00:00+00:00,5137.25,4840.4404,4739.8315,4941.0493
2026-07-18 01:00:00+00:00,5033.25,4818.3667,4717.758,4918.975
2026-07-18 02:00:00+00:00,5013.5,4723.721,4623.113,4824.33
2026-07-18 03:00:00+00:00,5046.25,4817.9375,4717.329,4918.5464
2026-07-18 04:00:00+00:00,5436.75,5144.949,5044.341,5245.558
2026-07-18 05:00:00+00:00,5858.5,5203.4434,5102.8345,5304.052
2026-07-18 06:00:00+00:00,6271.0,5776.8804,5676.272,5877.4893
